Campaign,Ad Group,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Description 1,Description 2,Description 3,Description 4,Status
GT | Search | Acil Tesisatçı | Avrupa,Acil Tesisatci - Genel,Responsive search ad,https://golgetesisat.com/acil-tesisatci,istanbul,avrupa,Acil Tesisatçı 7/24,30 Dakikada Kapınızda,Gölge Tesisat İstanbul,Hemen Arayın Gelelim,Gece Gündüz Hizmet,Garantili Tesisat Servisi,Şeffaf Fiyat Ön Bilgi,Usta Ekip Faturalı,Keşif Ücretsiz,İstanbul Geneli Servis,Tıkanıklık Su Kaçağı,Anında Müdahale,"Su baskını, patlak boru, tıkanıklık: 7/24 acil ekip ortalama 30 dakikada adresinizde.","Faturalı, garantili ve şeffaf fiyatlı tesisat hizmeti. İş öncesi fiyat bilgisi verilir.","İstanbul Avrupa ve Anadolu yakasında 7/24 acil tesisatçı. Hemen arayın, ekip yola çıksın.","Deneyimli usta ekibi, profesyonel ekipman, işçilik garantisi. WhatsApp'tan da ulaşabilirsiniz.",Enabled
GT | Search | Acil Tesisatçı | Avrupa,724 Tesisatci,Responsive search ad,https://golgetesisat.com/acil-tesisatci,istanbul,avrupa,Acil Tesisatçı 7/24,30 Dakikada Kapınızda,Gölge Tesisat İstanbul,Hemen Arayın Gelelim,Gece Gündüz Hizmet,Garantili Tesisat Servisi,Şeffaf Fiyat Ön Bilgi,Usta Ekip Faturalı,Keşif Ücretsiz,İstanbul Geneli Servis,Tıkanıklık Su Kaçağı,Anında Müdahale,"Su baskını, patlak boru, tıkanıklık: 7/24 acil ekip ortalama 30 dakikada adresinizde.","Faturalı, garantili ve şeffaf fiyatlı tesisat hizmeti. İş öncesi fiyat bilgisi verilir.","İstanbul Avrupa ve Anadolu yakasında 7/24 acil tesisatçı. Hemen arayın, ekip yola çıksın.","Deneyimli usta ekibi, profesyonel ekipman, işçilik garantisi. WhatsApp'tan da ulaşabilirsiniz.",Enabled
GT | Search | Acil Tesisatçı | Avrupa,Yakinimda Tesisatci,Responsive search ad,https://golgetesisat.com/acil-tesisatci,istanbul,avrupa,Acil Tesisatçı 7/24,30 Dakikada Kapınızda,Gölge Tesisat İstanbul,Hemen Arayın Gelelim,Gece Gündüz Hizmet,Garantili Tesisat Servisi,Şeffaf Fiyat Ön Bilgi,Usta Ekip Faturalı,Keşif Ücretsiz,İstanbul Geneli Servis,Tıkanıklık Su Kaçağı,Anında Müdahale,"Su baskını, patlak boru, tıkanıklık: 7/24 acil ekip ortalama 30 dakikada adresinizde.","Faturalı, garantili ve şeffaf fiyatlı tesisat hizmeti. İş öncesi fiyat bilgisi verilir.","İstanbul Avrupa ve Anadolu yakasında 7/24 acil tesisatçı. Hemen arayın, ekip yola çıksın.","Deneyimli usta ekibi, profesyonel ekipman, işçilik garantisi. WhatsApp'tan da ulaşabilirsiniz.",Enabled
GT | Search | Acil Tesisatçı | Anadolu,Acil Tesisatci - Genel,Responsive search ad,https://golgetesisat.com/acil-tesisatci,istanbul,anadolu,Acil Tesisatçı 7/24,30 Dakikada Kapınızda,Gölge Tesisat İstanbul,Hemen Arayın Gelelim,Gece Gündüz Hizmet,Garantili Tesisat Servisi,Şeffaf Fiyat Ön Bilgi,Usta Ekip Faturalı,Keşif Ücretsiz,İstanbul Geneli Servis,Tıkanıklık Su Kaçağı,Anında Müdahale,"Su baskını, patlak boru, tıkanıklık: 7/24 acil ekip ortalama 30 dakikada adresinizde.","Faturalı, garantili ve şeffaf fiyatlı tesisat hizmeti. İş öncesi fiyat bilgisi verilir.","İstanbul Avrupa ve Anadolu yakasında 7/24 acil tesisatçı. Hemen arayın, ekip yola çıksın.","Deneyimli usta ekibi, profesyonel ekipman, işçilik garantisi. WhatsApp'tan da ulaşabilirsiniz.",Enabled
GT | Search | Acil Tesisatçı | Anadolu,724 Tesisatci,Responsive search ad,https://golgetesisat.com/acil-tesisatci,istanbul,anadolu,Acil Tesisatçı 7/24,30 Dakikada Kapınızda,Gölge Tesisat İstanbul,Hemen Arayın Gelelim,Gece Gündüz Hizmet,Garantili Tesisat Servisi,Şeffaf Fiyat Ön Bilgi,Usta Ekip Faturalı,Keşif Ücretsiz,İstanbul Geneli Servis,Tıkanıklık Su Kaçağı,Anında Müdahale,"Su baskını, patlak boru, tıkanıklık: 7/24 acil ekip ortalama 30 dakikada adresinizde.","Faturalı, garantili ve şeffaf fiyatlı tesisat hizmeti. İş öncesi fiyat bilgisi verilir.","İstanbul Avrupa ve Anadolu yakasında 7/24 acil tesisatçı. Hemen arayın, ekip yola çıksın.","Deneyimli usta ekibi, profesyonel ekipman, işçilik garantisi. WhatsApp'tan da ulaşabilirsiniz.",Enabled
GT | Search | Acil Tesisatçı | Anadolu,Yakinimda Tesisatci,Responsive search ad,https://golgetesisat.com/acil-tesisatci,istanbul,anadolu,Acil Tesisatçı 7/24,30 Dakikada Kapınızda,Gölge Tesisat İstanbul,Hemen Arayın Gelelim,Gece Gündüz Hizmet,Garantili Tesisat Servisi,Şeffaf Fiyat Ön Bilgi,Usta Ekip Faturalı,Keşif Ücretsiz,İstanbul Geneli Servis,Tıkanıklık Su Kaçağı,Anında Müdahale,"Su baskını, patlak boru, tıkanıklık: 7/24 acil ekip ortalama 30 dakikada adresinizde.","Faturalı, garantili ve şeffaf fiyatlı tesisat hizmeti. İş öncesi fiyat bilgisi verilir.","İstanbul Avrupa ve Anadolu yakasında 7/24 acil tesisatçı. Hemen arayın, ekip yola çıksın.","Deneyimli usta ekibi, profesyonel ekipman, işçilik garantisi. WhatsApp'tan da ulaşabilirsiniz.",Enabled
GT | Search | Su Kacagi Tespiti | Avrupa,Su Kacagi Tespiti - Genel,Responsive search ad,https://golgetesisat.com/hizmet/su-kacagi-tespiti,istanbul,avrupa,Kırmadan Su Kaçağı Tespiti,Termal Kamera ile Tespit,Hasarsız Kaçak Bulma,Aynı Gün Randevu,Gölge Tesisat İstanbul,%98 Doğru Tespit,Ücretsiz Ön Bilgi,Zemin Kırmadan Çözüm,7/24 Kaçak Tespit Ekibi,Raporlu Tespit Hizmeti,Fatura ve Garanti,Uzman Tespit Ekibi,Termal kamera ve akustik cihazlarla kırmadan su kaçağı tespiti. Zemininiz hasar görmez.,Aidat faturanız mı yükseldi? Gizli kaçağı aynı gün tespit edip raporluyoruz.,"İstanbul genelinde kırmadan su kaçağı tespiti. Şeffaf fiyat, işçilik garantisi.","Uzman ekip, profesyonel ekipman, hızlı müdahale. Hemen arayın veya WhatsApp yazın.",Enabled
GT | Search | Su Kacagi Tespiti | Avrupa,Kirmadan Su Kacagi,Responsive search ad,https://golgetesisat.com/hizmet/su-kacagi-tespiti,istanbul,avrupa,Kırmadan Su Kaçağı Tespiti,Termal Kamera ile Tespit,Hasarsız Kaçak Bulma,Aynı Gün Randevu,Gölge Tesisat İstanbul,%98 Doğru Tespit,Ücretsiz Ön Bilgi,Zemin Kırmadan Çözüm,7/24 Kaçak Tespit Ekibi,Raporlu Tespit Hizmeti,Fatura ve Garanti,Uzman Tespit Ekibi,Termal kamera ve akustik cihazlarla kırmadan su kaçağı tespiti. Zemininiz hasar görmez.,Aidat faturanız mı yükseldi? Gizli kaçağı aynı gün tespit edip raporluyoruz.,"İstanbul genelinde kırmadan su kaçağı tespiti. Şeffaf fiyat, işçilik garantisi.","Uzman ekip, profesyonel ekipman, hızlı müdahale. Hemen arayın veya WhatsApp yazın.",Enabled
GT | Search | Su Kacagi Tespiti | Avrupa,Termal Kamera Su Kacagi,Responsive search ad,https://golgetesisat.com/hizmet/su-kacagi-tespiti,istanbul,avrupa,Kırmadan Su Kaçağı Tespiti,Termal Kamera ile Tespit,Hasarsız Kaçak Bulma,Aynı Gün Randevu,Gölge Tesisat İstanbul,%98 Doğru Tespit,Ücretsiz Ön Bilgi,Zemin Kırmadan Çözüm,7/24 Kaçak Tespit Ekibi,Raporlu Tespit Hizmeti,Fatura ve Garanti,Uzman Tespit Ekibi,Termal kamera ve akustik cihazlarla kırmadan su kaçağı tespiti. Zemininiz hasar görmez.,Aidat faturanız mı yükseldi? Gizli kaçağı aynı gün tespit edip raporluyoruz.,"İstanbul genelinde kırmadan su kaçağı tespiti. Şeffaf fiyat, işçilik garantisi.","Uzman ekip, profesyonel ekipman, hızlı müdahale. Hemen arayın veya WhatsApp yazın.",Enabled
GT | Search | Su Kacagi Tespiti | Avrupa,Gizli Kacak Tespiti,Responsive search ad,https://golgetesisat.com/hizmet/su-kacagi-tespiti,istanbul,avrupa,Kırmadan Su Kaçağı Tespiti,Termal Kamera ile Tespit,Hasarsız Kaçak Bulma,Aynı Gün Randevu,Gölge Tesisat İstanbul,%98 Doğru Tespit,Ücretsiz Ön Bilgi,Zemin Kırmadan Çözüm,7/24 Kaçak Tespit Ekibi,Raporlu Tespit Hizmeti,Fatura ve Garanti,Uzman Tespit Ekibi,Termal kamera ve akustik cihazlarla kırmadan su kaçağı tespiti. Zemininiz hasar görmez.,Aidat faturanız mı yükseldi? Gizli kaçağı aynı gün tespit edip raporluyoruz.,"İstanbul genelinde kırmadan su kaçağı tespiti. Şeffaf fiyat, işçilik garantisi.","Uzman ekip, profesyonel ekipman, hızlı müdahale. Hemen arayın veya WhatsApp yazın.",Enabled
GT | Search | Su Kacagi Tespiti | Anadolu,Su Kacagi Tespiti - Genel,Responsive search ad,https://golgetesisat.com/hizmet/su-kacagi-tespiti,istanbul,anadolu,Kırmadan Su Kaçağı Tespiti,Termal Kamera ile Tespit,Hasarsız Kaçak Bulma,Aynı Gün Randevu,Gölge Tesisat İstanbul,%98 Doğru Tespit,Ücretsiz Ön Bilgi,Zemin Kırmadan Çözüm,7/24 Kaçak Tespit Ekibi,Raporlu Tespit Hizmeti,Fatura ve Garanti,Uzman Tespit Ekibi,Termal kamera ve akustik cihazlarla kırmadan su kaçağı tespiti. Zemininiz hasar görmez.,Aidat faturanız mı yükseldi? Gizli kaçağı aynı gün tespit edip raporluyoruz.,"İstanbul genelinde kırmadan su kaçağı tespiti. Şeffaf fiyat, işçilik garantisi.","Uzman ekip, profesyonel ekipman, hızlı müdahale. Hemen arayın veya WhatsApp yazın.",Enabled
