Campaign,Location,Hedefleme Tipi,Not
GT | Search | Acil Tesisatçı | Avrupa,"Bebek, Beşiktaş, İstanbul",Yarıçap 3 km (radius targeting),Mahalle/semt: Bebek — konum ara kutusuna yazıp yarıçap seçin
GT | Search | Acil Tesisatçı | Avrupa,"Nişantaşı, Şişli, İstanbul",Yarıçap 3 km (radius targeting),Mahalle/semt: Nişantaşı — konum ara kutusuna yazıp yarıçap seçin
GT | Search | Acil Tesisatçı | Avrupa,"Etiler, Beşiktaş, İstanbul",Yarıçap 3 km (radius targeting),Mahalle/semt: Etiler — konum ara kutusuna yazıp yarıçap seçin
GT | Search | Acil Tesisatçı | Avrupa,"Levent, Beşiktaş, İstanbul",Yarıçap 3 km (radius targeting),Mahalle/semt: Levent — konum ara kutusuna yazıp yarıçap seçin
GT | Search | Acil Tesisatçı | Avrupa,"Zekeriyaköy, Sarıyer, İstanbul",Yarıçap 3 km (radius targeting),Mahalle/semt: Zekeriyaköy — konum ara kutusuna yazıp yarıçap seçin
GT | Search | Acil Tesisatçı | Avrupa,"Ulus, Beşiktaş, İstanbul",Yarıçap 3 km (radius targeting),Mahalle/semt: Ulus — konum ara kutusuna yazıp yarıçap seçin
GT | Search | Acil Tesisatçı | Avrupa,"Ortaköy, Beşiktaş, İstanbul",Yarıçap 3 km (radius targeting),Mahalle/semt: Ortaköy — konum ara kutusuna yazıp yarıçap seçin
GT | Search | Acil Tesisatçı | Avrupa,"Tarabya, Sarıyer, İstanbul",Yarıçap 3 km (radius targeting),Mahalle/semt: Tarabya — konum ara kutusuna yazıp yarıçap seçin
GT | Search | Acil Tesisatçı | Avrupa,"Kemerburgaz, Eyüpsultan, İstanbul",Yarıçap 3 km (radius targeting),Mahalle/semt: Kemerburgaz — konum ara kutusuna yazıp yarıçap seçin
GT | Search | Acil Tesisatçı | Avrupa,"Göktürk, Eyüpsultan, İstanbul",Yarıçap 3 km (radius targeting),Mahalle/semt: Göktürk — konum ara kutusuna yazıp yarıçap seçin
GT | Search | Acil Tesisatçı | Avrupa,"Sarıyer, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Avrupa,"Beşiktaş, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Avrupa,"Şişli, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Avrupa,"Eyüpsultan, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Avrupa,"Fatih, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Avrupa,"Zeytinburnu, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Avrupa,"Kağıthane, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Avrupa,"Güngören, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Avrupa,"Gaziosmanpaşa, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Avrupa,"Beyoğlu, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Avrupa,"Bayrampaşa, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Avrupa,"Bakırköy, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Avrupa,"Bahçelievler, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Avrupa,"Bağcılar, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Anadolu,"Kadıköy, İstanbul, Türkiye",İlçe (doğrudan hedefle),Google Ads listesinde ilçe olarak bulunur
GT | Search | Acil Tesisatçı | Anadolu,"Moda, Kadıköy, İstanbul",Yarıçap 3 km (radius targeting),Mahalle/semt: Moda — konum ara kutusuna yazıp yarıçap seçin
